date,trades,gross_pnl,net_pnl,winners,losers,cum_pnl
2026-01-16,15,799.34,778.03,8,7,39620.21
2026-01-19,12,256.0,238.96,6,6,39859.17
2026-01-20,15,1010.72,989.41,7,8,40848.58
2026-01-21,22,1185.3,1154.04,13,9,42002.62
2026-01-22,18,359.24,333.64,9,9,42336.26
2026-01-23,21,786.32,756.52,11,10,43092.78
2026-01-25,1,179.12,177.69,1,0,43270.47
2026-01-26,9,615.66,602.87,4,5,43873.34
2026-01-27,17,647.48,623.37,8,9,44496.71
2026-01-28,12,243.94,226.88,5,7,44723.59
2026-01-29,18,1497.4,1471.83,11,7,46195.42
2026-01-30,21,868.54,838.71,12,9,47034.13
2026-02-01,1,73.22,71.8,1,0,47105.93
2026-02-02,12,1314.52,1297.45,7,5,48403.38
2026-02-03,14,1034.96,1015.08,8,6,49418.46
2026-02-04,22,604.6,573.35,12,10,49991.81
2026-02-05,29,-196.78,-237.99,12,17,49753.82
2026-02-06,20,279.08,250.67,8,12,50004.49
2026-02-08,1,60.88,59.45,1,0,50063.94
2026-02-09,15,678.9,657.54,8,7,50721.48
2026-02-10,25,301.34,265.83,13,12,50987.31
2026-02-11,20,182.18,153.75,13,7,51141.06
2026-02-12,17,1192.12,1167.94,10,7,52309.0
2026-02-13,13,727.6,709.13,9,4,53018.13
2026-02-15,2,-26.0,-28.82,1,1,52989.31
2026-02-16,14,479.74,459.92,8,6,53449.23
2026-02-17,20,385.22,356.8,10,10,53806.03
2026-02-18,20,339.56,311.13,7,13,54117.16
